country;region;adfert;chldmort;life;pop;urban;femlab;literacy;co2;gini;gdp
Afghanistan;3;118.6999969;203;47.40000153;29501834;21.91666603;0.385800004;;0.100000001;;20212720937
Albania;4;17.89999962;17;76.40000153;3174417;49.35000229;0.694800019;95.90000153;5.150000095;34.5;13098926534
Algeria;1;7.300000191;34.75;72.31666565;34172236;64.93333435;0.452199996;72.59999847;15;;1.89772E+11
Angola;5;171.1000061;170;49.66666794;17783300;56.25;0.838;70;2.25;;1.0392E+11
Antigua and Barbuda;2;55.5;13;72.16666412;86367;30.46666718;;99;18.29999924;;1272872137
Argentina;2;56.90000153;15.25;75.28333282;39543736;91.90000153;0.654399991;97.69999695;15.64999962;45.79999924;4.55453E+11
Armenia;3;35.70000076;24;73.68333435;3077700;64.1166687;0.799600005;99.5;5.300000191;30.89999962;11456794381
Australia;5;16.5;5.25;81.40000153;21325382;88.66666412;0.799400032;;66.19999695;;1.30703E+12
Austria;4;12.80000019;4.5;80.18333435;8320033;67.0166626;0.771399975;;31.90000153;;4.11195E+11
Azerbaijan;3;33.79999924;38.75;69.90000153;8884767;51.70000076;0.888999999;;15.39999962;33.70000076;59025316699
Bahrain;3;14.89999962;12;74.59999847;990950;88.5;0.381000012;91.40000153;102.6499939;;30779223484
Bangladesh;3;78.90000153;58;67.80000305;144683104;26.86666679;0.695200026;55.90000153;1;31;1.5663E+11
Barbados;2;42.59999847;11.5;76.30000305;271917;42.90000153;0.842999995;;16.64999962;;4533904774
Belarus;4;22.10000038;13;69.46666718;9707033;73.3999939;0.820800006;99.69999695;25;27.20000076;60731096387
Belgium;4;14.19999981;5;79.56666565;10567200;97.3500061;0.759000003;;38.15000153;;5.08104E+11
Belize;2;78.69999695;19.75;75.21666718;296200;51.20000076;0.567399979;;10.75;;1597679507
Benin;1;111.6999969;122.75;54.73333359;8237634;41;0.848200023;41.70000076;1.200000048;;8755259214
Bhutan;3;50.20000076;83.5;65.84999847;693933;32.81666565;0.715000033;52.79999924;2.25;;2067340394
Bolivia;2;78.19999695;57;65.53333282;9539767;65.3833313;0.752600014;90.69999695;4.150000095;57.29999924;25664047182
Bosnia and Herzegovina;4;16.39999962;15;75.15000153;3773933;47.15000153;0.8046;97.80000305;24.79999924;36.20000076;18295041850
Botswana;1;52.09999847;60.25;52.25;1941233;59.25;0.887000024;84.09999847;9.199999809;;16146162617
Brazil;2;75.59999847;23;72.31666565;190579936;85.3999939;0.723200023;89.80000305;6.850000381;53.90000153;2.33193E+12
Brunei Darussalam;3;25.10000038;7;77.53333282;381050;74.59999847;0.787400007;95.30000305;57.30000305;;13637697103
Bulgaria;4;42.79999924;11.5;72.78333282;7616200;70.81666565;0.798399985;98.30000305;22.59999847;45.29999924;54639046567
Burkina Faso;1;124.8000031;170.5;53.78333282;15308383;23.58333397;0.858399987;23.60000038;0.200000003;;11343810190
Burundi;1;18.60000038;168.5;48.86666489;7821783;10.25;1.034399986;66.59999847;0.100000001;33.29999924;2310810954
